学校,考试方向,院系,其他,专业代码,学习方式,研究方向,指导老师,拟招人数
(10614)电子科技大学,统考,(002)电子科学与工程学院,,(080900)电子科学与技术,全日制,(05)物理电子学（太赫兹科学技术与应用，微波毫米波电子学与应用，生物电磁效应及生物医学成像）,刘盛纲/蒙林/杨梓强/宫玉彬/魏彦玉/曾葆青/罗勇/鄢扬/王治国/喻胜/李斌/李建清/段兆云/岳玲娜/李天明/巩华荣/殷海荣/王丽/路志刚/朱小芳/刘大刚/黄桃/张开春/牛新建/刘迎辉/史宗君/汪海洋/张雅鑫/赖大坤/周俊/袁学松/徐进/王建勋/王晖/李浩/等见招生简章/等见招生简章/,专业：128(不含推免),备注：,
(10614)电子科技大学,统考,(021)基础与前沿研究院,,(080900)电子科学与技术,全日制,(01)电磁场与微波技术（微波理论与技术，计算电磁学与工程电磁学，天线理论与技术）,,专业：2(不含推免),备注：,
(10614)电子科技大学,统考,(021)基础与前沿研究院,,(080900)电子科学与技术,全日制,(02)电路与系统（电子信息与系统集成，微波、毫米波集成电路与系统，微纳电路与系统）,,专业：2(不含推免),备注：,
(10614)电子科技大学,统考,(021)基础与前沿研究院,,(080900)电子科学与技术,全日制,(03)微电子学与固体电子学（微电子工艺与微系统集成，功率半导体器件与集成，集成电路与系统设计）,王志明/王曾晖,专业：2(不含推免),备注：,
(10614)电子科技大学,统考,(021)基础与前沿研究院,,(080900)电子科学与技术,全日制,(04)电子信息材料与元器件（电磁调控，微纳磁电器件，微系统集成）,Harry/Arup,专业：2(不含推免),备注：,
(10614)电子科技大学,统考,(021)基础与前沿研究院,,(080900)电子科学与技术,全日制,(05)物理电子学（太赫兹科学技术与应用，微波毫米波电子学与应用，生物电磁效应及生物医学成像）,,专业：2(不含推免),备注：,
(10614)电子科技大学,统考,(023)电子科学技术研究院,,(080900)电子科学与技术,全日制,(01)电磁场与微波技术（微波理论与技术，计算电磁学与工程电磁学，天线理论与技术）,罗永伦/田忠/金龙/钱可伟,专业：7(不含推免),备注：,
(10614)电子科技大学,统考,(023)电子科学技术研究院,,(080900)电子科学与技术,全日制,(02)电路与系统（电子信息与系统集成，微波、毫米波集成电路与系统，微纳电路与系统）,罗永伦/田忠/金龙/王中华/李磊/周婉婷,专业：7(不含推免),备注：,
(10614)电子科技大学,统考,(023)电子科学技术研究院,,(080900)电子科学与技术,全日制,(03)微电子学与固体电子学（微电子工艺与微系统集成，功率半导体器件与集成，集成电路与系统设计）,田忠/王中华,专业：7(不含推免),备注：,
(10614)电子科技大学,统考,(023)电子科学技术研究院,,(080900)电子科学与技术,全日制,(04)电子信息材料与元器件（电磁调控，微纳磁电器件，微系统集成）,曾志毅,专业：7(不含推免),备注：,
(10614)电子科技大学,统考,(023)电子科学技术研究院,,(080900)电子科学与技术,全日制,(05)物理电子学（太赫兹科学技术与应用，微波毫米波电子学与应用，生物电磁效应及生物医学成像）,,专业：7(不含推免),备注：,
(10621)成都信息工程大学,统考,(011)光电工程学院,,(080900)电子科学与技术,全日制,(01)光电子材料与器件,,专业：7(不含推免),备注：,
(10621)成都信息工程大学,统考,(011)光电工程学院,,(080900)电子科学与技术,全日制,(02)激光与光电信息技术,,专业：7(不含推免),备注：,
(10621)成都信息工程大学,统考,(011)光电工程学院,,(080900)电子科学与技术,全日制,(03)生物与环境传感,,专业：7(不含推免),备注：,
(10621)成都信息工程大学,统考,(011)光电工程学院,,(080900)电子科学与技术,全日制,(04)新能源材料与器件,,专业：7(不含推免),备注：,
(10621)成都信息工程大学,统考,(011)光电工程学院,,(080900)电子科学与技术,全日制,(05)磁电功能材料与器件,,专业：7(不含推免),备注：,
(84004)电信科学技术第五研究所(成都),统考,(000)不区分院系所,,(080904)电磁场与微波技术,全日制,(01)微波毫米波电路与系统,,专业：3(不含推免),备注：,该专业01、02方向为“中国电子科技集团公司第十研究所”定向招生； 03方向为“电信科学技术第五研究所”招生
(84004)电信科学技术第五研究所(成都),统考,(000)不区分院系所,,(080904)电磁场与微波技术,全日制,(02)天线理论与技术,,专业：3(不含推免),备注：,
(84004)电信科学技术第五研究所(成都),统考,(000)不区分院系所,,(080904)电磁场与微波技术,全日制,(03)光纤通信,,专业：3(不含推免),备注：,
