学校,考试方向,院系,其他,专业代码,学习方式,研究方向,指导老师,拟招人数,,
成都信息工程大学,统考,网络空间安全学院,,物联网技术,全日制,物联网安全,,专业：2(不含推免),备注：,
成都信息工程大学,统考,网络空间安全学院,,物联网技术,全日制,物联网软件技术,,专业：2(不含推免),备注：,
成都信息工程大学,统考,网络空间安全学院,,物联网技术,全日制,嵌入式技术及应用,,专业：2(不含推免),备注：,
成都信息工程大学,统考,网络空间安全学院,,物联网技术,全日制,物联网工程及应用,,专业：2(不含推免),备注：,
西华大学,统考,计算机与软件工程学院,,计算机科学与技术,全日制,计算机系统结构,,专业：11(不含推免),备注：,含士兵计划
西华大学,统考,计算机与软件工程学院,,计算机科学与技术,全日制,计算机软件与理论,,专业：11(不含推免),备注：,含士兵计划
西华大学,统考,计算机与软件工程学院,,计算机科学与技术,全日制,计算机应用技术,,专业：11(不含推免),备注：,含士兵计划
西华大学,统考,计算机与软件工程学院,,计算机科学与技术,全日制,信息安全,,专业：11(不含推免),备注：,含士兵计划
西华大学,统考,军民融合研究院,,计算机科学与技术,全日制,计算机应用技术,,专业：1(不含推免),备注：,含士兵计划
西南财经大学,统考,经济信息工程学院,,计算机软件与理论,全日制,机器学习理论与系统,,专业：5(不含推免),备注：,
西南财经大学,统考,经济信息工程学院,,计算机软件与理论,全日制,自然语言处理与信息检索,,专业：5(不含推免),备注：,
西南财经大学,统考,经济信息工程学院,,计算机软件与理论,全日制,图像处理与模式识别,,专业：5(不含推免),备注：,
西南财经大学,统考,经济信息工程学院,,计算机软件与理论,全日制,信息安全,,专业：5(不含推免),备注：,
西南财经大学,统考,经济信息工程学院,,计算机应用技术,全日制,金融信息处理与挖掘,,专业：7(不含推免),备注：,
西南财经大学,统考,经济信息工程学院,,计算机应用技术,全日制,大数据处理与分析,,专业：7(不含推免),备注：,
西南财经大学,统考,经济信息工程学院,,计算机应用技术,全日制,图像处理与多媒体应用,,专业：7(不含推免),备注：,
西南财经大学,统考,经济信息工程学院,,计算机应用技术,全日制,信息安全技术,,专业：7(不含推免),备注：,
西南自动化研究所,统考,不区分院系所,,计算机应用技术,全日制,嵌入式计算机技术,,专业：5(不含推免),备注：,
西南自动化研究所,统考,不区分院系所,,计算机应用技术,全日制,计算机控制技术,,专业：5(不含推免),备注：,
西南自动化研究所,统考,不区分院系所,,计算机应用技术,全日制,数字信号处理技术,,专业：5(不含推免),备注：,
西南自动化研究所,统考,不区分院系所,,计算机应用技术,全日制,智能信息处理与控制,,专业：5(不含推免),备注：,
